authors,original_publication_year,original_title,title,average_rating,ratings_count,ratings_1,ratings_2,ratings_3,ratings_4,ratings_5,image_url
Suzanne Collins,2008,The Hunger Games,"The Hunger Games (The Hunger Games, #1)",4.34,4780653,66715,127936,560092,1481305,2706317,https://images.gr-assets.com/books/1447303603m/2767052.jpg
"J.K. Rowling, Mary GrandPré",1997,Harry Potter and the Philosopher's Stone,"Harry Potter and the Sorcerer's Stone (Harry Potter, #1)",4.44,4602479,75504,101676,455024,1156318,3011543,https://images.gr-assets.com/books/1474154022m/3.jpg
Stephenie Meyer,2005,Twilight,"Twilight (Twilight, #1)",3.57,3866839,456191,436802,793319,875073,1355439,https://images.gr-assets.com/books/1361039443m/41865.jpg
Harper Lee,1960,To Kill a Mockingbird,To Kill a Mockingbird,4.25,3198671,60427,117415,446835,1001952,1714267,https://images.gr-assets.com/books/1361975680m/2657.jpg
F. Scott Fitzgerald,1925,The Great Gatsby,The Great Gatsby,3.89,2683664,86236,197621,606158,936012,947718,https://images.gr-assets.com/books/1490528560m/4671.jpg
John Green,2012,The Fault in Our Stars,The Fault in Our Stars,4.26,2346404,47994,92723,327550,698471,1311871,https://images.gr-assets.com/books/1360206420m/11870085.jpg
J.R.R. Tolkien,1937,The Hobbit or There and Back Again,The Hobbit,4.25,2071616,46023,76784,288649,665635,1119718,https://images.gr-assets.com/books/1372847500m/5907.jpg
J.D. Salinger,1951,The Catcher in the Rye,The Catcher in the Rye,3.79,2044241,109383,185520,455042,661516,709176,https://images.gr-assets.com/books/1398034300m/5107.jpg
Dan Brown,2000,Angels & Demons,"Angels & Demons  (Robert Langdon, #1)",3.85,2001311,77841,145740,458429,716569,680175,https://images.gr-assets.com/books/1303390735m/960.jpg
Jane Austen,1813,Pride and Prejudice,Pride and Prejudice,4.24,2035490,54700,86485,284852,609755,1155673,https://images.gr-assets.com/books/1320399351m/1885.jpg
Khaled Hosseini,2003,The Kite Runner,The Kite Runner,4.26,1813044,34288,59980,226062,628174,929591,https://images.gr-assets.com/books/1484565687m/77203.jpg
Veronica Roth,2011,Divergent,"Divergent (Divergent, #1)",4.24,1903563,36315,82870,310297,673028,1114304,https://images.gr-assets.com/books/1328559506m/13335037.jpg
"George Orwell, Erich Fromm, Celâl Üster",1949,Nineteen Eighty-Four,1984,4.14,1956832,41845,86425,324874,692021,908229,https://images.gr-assets.com/books/1348990566m/5470.jpg
George Orwell,1945,Animal Farm: A Fairy Story,Animal Farm,3.87,1881700,66854,135147,433432,698642,648912,https://images.gr-assets.com/books/1424037542m/7613.jpg
"Anne Frank, Eleanor Roosevelt, B.M. Mooyaart-Doubleday",1947,Het Achterhuis: Dagboekbrieven 14 juni 1942 - 1 augustus 1944,The Diary of a Young Girl,4.1,1972666,45225,91270,355756,656870,875372,https://images.gr-assets.com/books/1358276407m/48855.jpg
"Stieg Larsson, Reg Keeland",2005,Män som hatar kvinnor,"The Girl with the Dragon Tattoo (Millennium, #1)",4.11,1808403,54835,86051,285413,667485,836050,https://images.gr-assets.com/books/1327868566m/2429135.jpg
Suzanne Collins,2009,Catching Fire,"Catching Fire (The Hunger Games, #2)",4.3,1831039,10492,48030,262010,687238,980309,https://images.gr-assets.com/books/1358273780m/6148028.jpg
"J.K. Rowling, Mary GrandPré, Rufus Beck",1999,Harry Potter and the Prisoner of Azkaban,"Harry Potter and the Prisoner of Azkaban (Harry Potter, #3)",4.53,1832823,6716,20413,166129,509447,1266670,https://images.gr-assets.com/books/1499277281m/5.jpg
J.R.R. Tolkien,1954,The Fellowship of the Ring,"The Fellowship of the Ring (The Lord of the Rings, #1)",4.34,1766803,38031,55862,202332,493922,1042394,https://images.gr-assets.com/books/1298411339m/34.jpg
Suzanne Collins,2010,Mockingjay,"Mockingjay (The Hunger Games, #3)",4.03,1719760,30144,110498,373060,618271,738775,https://images.gr-assets.com/books/1358275419m/7260188.jpg
"J.K. Rowling, Mary GrandPré",2003,Harry Potter and the Order of the Phoenix,"Harry Potter and the Order of the Phoenix (Harry Potter, #5)",4.46,1735368,9528,31577,180210,494427,1124806,https://images.gr-assets.com/books/1387141547m/2.jpg
Alice Sebold,2002,The Lovely Bones,The Lovely Bones,3.77,1605173,62777,131188,404699,583575,479323,https://images.gr-assets.com/books/1457810586m/12232938.jpg
"J.K. Rowling, Mary GrandPré",1998,Harry Potter and the Chamber of Secrets,"Harry Potter and the Chamber of Secrets (Harry Potter, #2)",4.37,1779331,8253,42251,242345,548266,1065084,https://images.gr-assets.com/books/1474169725m/15881.jpg
"J.K. Rowling, Mary GrandPré",2000,Harry Potter and the Goblet of Fire,"Harry Potter and the Goblet of Fire (Harry Potter, #4)",4.53,1753043,6676,20210,151785,494926,1195045,https://images.gr-assets.com/books/1361482611m/6.jpg
"J.K. Rowling, Mary GrandPré",2007,Harry Potter and the Deathly Hallows,"Harry Potter and the Deathly Hallows (Harry Potter, #7)",4.61,1746574,9363,22245,113646,383914,1318227,https://images.gr-assets.com/books/1474171184m/136251.jpg
Dan Brown,2003,The Da Vinci Code,"The Da Vinci Code (Robert Langdon, #2)",3.79,1447148,71345,126493,340790,539277,479387,https://images.gr-assets.com/books/1303252999m/968.jpg
"J.K. Rowling, Mary GrandPré",2005,Harry Potter and the Half-Blood Prince,"Harry Potter and the Half-Blood Prince (Harry Potter, #6)",4.54,1678823,7308,21516,136333,459028,1161491,https://images.gr-assets.com/books/1361039191m/1.jpg
